time,open,high,low,close,volume
1554400818812,260.993,260.993,260.993,260.993,199
1554487218507,268.7025,268.7025,268.7025,268.7025,200
1554746417744,266.9750028931,266.9750028931,266.9750028931,266.9750028931,201
1554832818256,270.595,270.595,270.595,270.595,202
1554919217531,270.8039446077,270.8039446077,270.8039446077,270.8039446077,203
1555005618395,271.4995,271.4995,271.4995,271.4995,204
1555092016796,266.5082,266.5082,266.5082,266.5082,205
1555351219626,263.0865,263.0865,263.0865,263.0865,206
1555437618809,271.2912515654,271.2912515654,271.2912515654,271.2912515654,207
1555524018733,267.5286,267.5286,267.5286,267.5286,208
1555610417411,257.0921,257.0921,257.0921,257.0921,209
1557511221795,255.2466,255.2466,255.2466,255.2466,210
1557770420295,252.2845,252.2845,252.2845,252.2845,211
1557856826086,252.3290424376,252.3290424376,252.3290424376,252.3290424376,212
1557943249588,234.8187,234.8187,234.8187,234.8187,213
1558029620560,240.4652,240.4652,240.4652,240.4652,214
1558116020556,247.2947,247.2947,247.2947,247.2947,215
1558375219978,253.0055367711,253.0055367711,253.0055367711,253.0055367711,216
1558461625014,248.3318,248.3318,248.3318,248.3318,217
1558548017781,239.7412,239.7412,239.7412,239.7412,218
1558634419763,244.203,244.203,244.203,244.203,219
1558720820193,242.7969,242.7969,242.7969,242.7969,220
1558980019001,235.4831,235.4831,235.4831,235.4831,221
1559066418351,233.8782,233.8782,233.8782,233.8782,222
1559152819640,232.9699,232.9699,232.9699,232.9699,223
1559239219192,229.6599,229.6599,229.6599,229.6599,224
1559325616868,231.839,231.839,231.839,231.839,225
1559584818455,223.951,223.951,223.951,223.951,226
1559671223319,213.3456,213.3456,213.3456,213.3456,227
1559757618982,224.2499,224.2499,224.2499,224.2499,228
1559844018967,227.0663,227.0663,227.0663,227.0663,229
1559930421350,230.1474,230.1474,230.1474,230.1474,230
1560196065903,236.55,244.35,236.5,234.55,7760
1560276034585,242.75,246.55,242,244.35,8058
1560448839497,238.15,243.25,237.45,239.45,3059
1560535234331,239.85,241.6,238.15,241.2,3845
1560794434465,242.15,245,241.3,241.15,2541
1560880833613,244.4,255.45,243.1,244.1,20152
1560967238677,252.85,252.95,249.95,253.75,6192
1561053634376,257.3,259.5,254.8,250.85,12847
1561140037268,255.3,258,253.55,254.8,8481
1561399237140,255.45,255.75,253.05,256.95,3969
1561485639824,251.75,253.2,248.65,254.4,8469
1561572034250,246.25,251.55,245.5,249.15,5577
1561658435055,250.4,250.7,247,248.35,5654
1561744835657,249.15,250,247.7,247.8,3043
1562004041183,259.75,260.35,257.15,248.9,8231
1562090437259,257.7,259,255.8,257.95,5516
1562176834648,261.35,263.5,261.2,257.55,4556
1562263240239,264.55,265.85,264.2,263.4,4090
1562349636316,265.4,265.4,259.85,265.75,8377
1565863643778,244.35,244.7,237.8,245.4,8407.0
1565863917130,244.35,244.7,237.8,245.4,8407.0
1565892014391,244.35,245.8,234.65,245.4,24285.0
1565978415018,245.05,250.8,245.05,241.5,10211.0
1566237614730,255.2,258.1,253.25,249.25,6382.0
1566324020590,258.0,259.05,254.75,257.8,5447.0
1566410413119,256.6,259.7,256.0,257.2,4130.0
1566496814791,257.95,260.5,253.3,259.0,5469.0
1566583215810,259.35,260.0,245.1,255.15,6830.0
1566842414367,244.0,249.55,242.5,245.3,9609.0
1566928815151,246.05,251.25,244.75,245.2,8997.0
1567015214213,247.05,248.0,242.65,247.6,10085.0
1567101615758,247.0,257.5,246.95,247.75,9773.0
1567188017207,256.5,261.0,253.8,256.7,7899.0
1567447273795,254.2,257.75,254.2,255.9,2776.0
1567533615149,253.55,256.25,251.5,255.5,7276.0
1567620042344,257.5,259.3,254.95,253.4,3968.0
1567706419766,262.75,268.1,261.55,256.65,11290.0
1567792813683,267.55,269.25,265.55,267.25,5626.0
1568052015714,268.75,268.75,265.6,267.15,5902.0
1568138415458,264.25,264.25,259.2,267.4,5101.0
1568224813957,264.2,269.0,263.55,259.85,4468.0
1568311214720,271.85,275.35,269.85,269.0,12559.0
1568397615941,270.8,272.3,269.0,272.15,3198.0
1568656814358,266.65,268.25,263.5,269.25,5021.0
1568743216703,265.95,267.8,265.95,267.25,712.0
1568829615632,267.7,268.45,266.85,266.75,1143.0
1568916015685,265.75,272.85,265.75,266.85,3198.0
1569002428943,270.0,271.75,269.4,272.2,2304.0
1569261615568,267.4,268.0,263.7,269.65,3468.0
1569348014760,267.5,268.8,263.75,265.65,3091.0
1569434416000,258.3,261.35,253.8,263.75,7772.0
1569520817610,263.4,266.55,259.55,260.05,6326.0
1569607213632,263.75,265.3,260.9,260.45,1632.0
1569866413945,259.2,261.75,258.85,262.9,8928.0
1569952815069,266.25,267.0,259.9,261.75,5672.0
1570039213999,257.65,257.65,246.95,260.95,14974.0
1570125617099,248.75,251.0,241.8,246.95,15331.0
1570212017630,252.8,258.55,251.35,248.55,7751.0
1570471215926,258.35,261.6,257.4,258.55,5731.0
1570557615790,260.35,260.7,251.85,261.55,9235.0
1570644017143,251.0,257.0,250.9,252.85,6721.0
1570730415780,254.9,261.3,253.65,255.3,8308.0
1570816816799,261.65,268.25,261.6,260.65,13800.0
1571076030527,265.75,266.65,262.0,268.25,8468.0
1571162414957,268.4,272.0,267.1,266.3,5097.0
1571248816195,271.65,271.65,268.95,270.8,5097.0
1571335216722,270.1,272.5,268.65,269.1,3355.0
1571421618421,268.5,269.25,265.7,268.8,3041.0
1571680817059,264.9,268.0,264.45,265.7,4113.0
1571767222353,269.5,271.2,268.0,267.75,3152.0
1571853616445,262.55,265.85,261.85,268.0,5108.0
1571940015008,267.7,271.75,267.25,265.7,3438.0
1572026417429,269.45,276.35,268.4,271.75,3412.0
1572289214547,277.5,281.5,277.2,275.6,5245.0
1572375615114,281.3,281.3,277.05,280.95,3549.0
1572462018125,276.7,278.25,275.0,278.75,4338.0
1572548414644,280.4,281.25,276.0,276.5,4574.0
1572634838527,279.6,283.1,278.7,276.6,5540.0
1572894014515,285.7,288.0,285.4,280.45,5145.0
1572980414840,288.75,290.0,287.55,286.75,3592.0
1573066816545,288.7,289.5,286.45,289.75,3894.0
1573153215530,291.35,293.7,290.6,287.65,8040.0
1573239616220,289.65,292.0,289.0,293.35,6046.0
