time,open,high,low,close,volume
1554400818812,20.6726,20.6726,20.6726,20.6726,199
1554487218507,20.9456,20.9456,20.9456,20.9456,200
1554746417744,20.9084,20.9084,20.9084,20.9084,201
1554832818256,21.0106,21.0106,21.0106,21.0106,202
1554919217531,21.0748,21.0748,21.0748,21.0748,203
1555005618395,21.0921,21.0921,21.0921,21.0921,204
1555092016796,21.0356,21.0356,21.0356,21.0356,205
1555351219626,20.8784,20.8784,20.8784,20.8784,206
1555437618809,21.0738,21.0738,21.0738,21.0738,207
1555524018733,20.9675,20.9675,20.9675,20.9675,208
1555610417411,20.6345,20.6345,20.6345,20.6345,209
1557511221795,20.5762,20.5762,20.5762,20.5762,210
1557770420295,20.4691,20.4691,20.4691,20.4691,211
1557856826086,20.5239,20.5239,20.5239,20.5239,212
1557943249588,20.0316,20.0316,20.0316,20.0316,213
1558029620560,20.2499,20.2499,20.2499,20.2499,214
1558116020556,20.3812,20.3812,20.3812,20.3812,215
1558375219978,20.6174,20.6174,20.6174,20.6174,216
1558461625014,20.5346,20.5346,20.5346,20.5346,217
1558548017781,20.3869,20.3869,20.3869,20.3869,218
1558634419763,20.5304,20.5304,20.5304,20.5304,219
1558720820193,20.5235,20.5235,20.5235,20.5235,220
1558980019001,20.288,20.288,20.288,20.288,221
1559066418351,20.22,20.22,20.22,20.22,222
1559152819640,20.1057,20.1057,20.1057,20.1057,223
1559239219192,20.0239,20.0239,20.0239,20.0239,224
1559325616868,20.097,20.097,20.097,20.097,225
1559584818455,19.8046,19.8046,19.8046,19.8046,226
1559671223319,19.6484,19.6484,19.6484,19.6484,227
1559757618982,20.0143,20.0143,20.0143,20.0143,228
1559844018967,20.1277,20.1277,20.1277,20.1277,229
1559930421350,20.2186,20.2186,20.2186,20.2186,230
1560196061869,20.465,20.582,20.457,20.351,14865
1560276031019,20.525,20.621,20.501,20.565,1893
1560448833282,20.803,20.803,20.447,20.429,3800
1560535230597,20.557,20.652,20.55,20.545,498
1560794430513,20.726,20.738,20.64,20.652,21052
1560880829840,20.651,21.041,20.619,20.682,6614
1560967232937,20.966,20.966,20.87,20.966,3496
1561053630166,20.993,21.017,20.957,20.884,4046
1561140033779,20.982,21.014,20.9,20.957,18900
1561399232406,20.862,20.862,20.799,20.992,4159
1561485634586,20.737,20.786,20.68,20.82,5316
1561572030738,20.654,20.74,20.613,20.701,1750
1561658431208,21,21,20.59,20.62,8941
1561744831892,20.684,20.717,20.684,20.62,11236
1562004034112,21.13,21.132,21.03,20.697,18882
1562090433009,21.074,21.11,21.018,21.048,11472
1562176830752,21.2,21.293,21.2,21.052,11428
1562263236430,21.34,21.366,21.313,21.293,10690
1562349632132,21.357,21.357,21.299,21.357,5464
1565863639300,20.68,20.68,20.47,20.712,5875.0
1565863914838,20.68,20.68,20.47,20.712,5875.0
1565892011115,20.68,20.68,20.374,20.712,8835.0
1565978411384,20.77,20.967,20.77,20.636,6807.0
1566237611441,21.175,21.243,21.114,20.952,12220.0
